ID	MolecularWeight	ResidueCount	ResidueWeight	Charge	IsoelectricPoint	ExtinctionReduced	ExtinctionBridges	ReducedMgMl	BridgeMgMl	Probability_pos_neg
KAJ7421106.1	40875.88	358	114.178	15.5	8.9778	107370	107870	627	639	-0.746
KAJ7396366.1	40738.78	358	113.795	16.5	9.1677	101870	102370	501	513	-0.769
KAI6072612.1	40439.39	358	112.959	13.5	8.5615	100380	100880	482	495	-0.713
KAI1230272.1	41753.77	370	112.848	9.5	8.1176	107370	107870	572	583	-0.701
XP_040473657.1	40817.94	358	114.017	14.5	8.8102	101870	102370	496	508	-0.704
XP_040392851.1	40479.41	358	113.071	13.0	8.5602	100380	100880	480	492	-0.704
XP_039553177.1	40585.46	358	113.367	10.0	8.1225	112870	113370	781	793	-0.660
XP_010411101.1	40804.74	358	113.980	11.5	8.3986	107370	107870	631	644	-0.687
XP_027601652.2	40566.52	358	113.314	15.5	8.7081	96370	96870	376	388	-0.721
XP_038019160.1	40555.43	358	113.283	9.5	8.1180	107370	107870	647	660	-0.670
XP_037266979.1	40833.98	358	114.061	14.5	8.8102	101870	102370	495	507	-0.695
KAF4787459.1	40667.51	358	113.596	12.5	8.7466	107370	107745	640	649	-0.739
XP_015506695.1	40686.44	358	113.649	9.0	8.1134	107370	107870	639	651	-0.660
XP_030364364.1	40557.81	358	113.290	17.0	9.0191	94880	95380	339	352	-0.728
XP_032566992.1	40759.73	358	113.854	17.0	9.0147	101870	102370	499	512	-0.745
XP_015741500.1	48703.34	432	112.739	21.0	9.2954	115850	116475	379	392	-0.825
KAF1671963.1	40606.72	358	113.427	12.5	8.4781	101870	102495	509	524	-0.686
KAF1663616.1	40648.70	358	113.544	12.5	8.4787	101870	102495	506	521	-0.686
KAF1642821.1	40682.83	358	113.639	13.0	8.4802	101870	102495	504	519	-0.677
KAF1627266.1	40652.80	358	113.555	13.0	8.4802	101870	102495	506	521	-0.677
